yhat,yhat_lower,yhat_upper,year
1.165782417,1.1657824155336947,1.1657824184321774,1961
1.165782417,1.1657824155456507,1.1657824185358079,1962
1.165782417,1.1657824155032912,1.1657824184262322,1963
1.165782417,1.165782415494269,1.1657824184443841,1964
1.165782417,1.1657824156011003,1.1657824185428063,1965
1.165782417,1.1657824154842273,1.1657824185895418,1966
1.165782417,1.1657824154029552,1.1657824185311438,1967
1.165782417,1.1657824153608822,1.1657824185169872,1968
1.165782417,1.165782415557171,1.1657824184974426,1969
1.165782417,1.165782415572641,1.165782418493248,1970
1.165782417,1.1657824154916678,1.165782418598672,1971
1.165782417,1.1657824155913235,1.1657824185521186,1972
1.165782417,1.165782415390408,1.1657824185066135,1973
1.165782417,1.1657824155200163,1.1657824183884085,1974
1.165782417,1.1657824154733694,1.1657824185362284,1975
1.165782417,1.1657824155384449,1.1657824186398829,1976
1.165782417,1.1657824156089789,1.1657824185070182,1977
1.165782417,1.165782415623251,1.1657824185267158,1978
1.165782417,1.1657824154461909,1.1657824183878163,1979
1.165782417,1.1657824154261927,1.16578241838006,1980
1.165782417,1.1657824154156489,1.1657824185205496,1981
1.165782417,1.1657824155314278,1.1657824183865424,1982
1.165782417,1.1657824155909986,1.1657824185263566,1983
1.165782417,1.1657824155377017,1.1657824184395222,1984
1.165782417,1.1657824154970327,1.1657824184642835,1985
1.165782417,1.165782415401115,1.1657824184716594,1986
1.165782417,1.1657824155848562,1.1657824185995083,1987
1.165782417,1.165782415616082,1.165782418470052,1988
1.165782417,1.1657824155315146,1.1657824185114933,1989
1.165782417,1.165782415581673,1.1657824185445305,1990
1.165782417,1.165782415440542,1.1657824184043615,1991
1.165782417,1.165782415551377,1.1657824185190253,1992
1.165782417,1.1657824155240688,1.1657824185594357,1993
1.165782417,1.1657824154608825,1.1657824185874672,1994
1.165782417,1.1657824153601444,1.1657824184619776,1995
1.165782417,1.1657824155206467,1.1657824184073133,1996
1.165782417,1.1657824155055183,1.1657824184602514,1997
1.165782417,1.1657824155396241,1.1657824184478325,1998
1.165782417,1.1657824154325072,1.1657824184173706,1999
1.165782417,1.1657824155210608,1.1657824184671863,2000
1.165782417,1.1657824156284784,1.1657824185721446,2001
1.165782417,1.1657824155262733,1.1657824184275276,2002
1.165782417,1.1657824155518164,1.1657824184497547,2003
1.165782417,1.1657824154945629,1.1657824184677805,2004
1.165782417,1.1657824154734293,1.1657824185224852,2005
1.165782417,1.165782415587045,1.1657824185662724,2006
1.165782417,1.1657824154543444,1.1657824185850696,2007
1.165782417,1.165782415458005,1.165782418458768,2008
1.165782417,1.1657824154826375,1.1657824185353216,2009
1.165782417,1.1657824155524634,1.1657824184412857,2010
1.165782417,1.1657824155180763,1.1657824185184817,2011
1.165782417,1.1657824154925882,1.1657824184868495,2012
1.165782417,1.1657824154671648,1.1657824184672303,2013
1.165782417,1.1657824154691252,1.1657824184416634,2014
1.165782417,1.1657824153911212,1.1657824186318329,2015
1.165782417,1.1657824153263656,1.1657824186928338,2016
1.165782417,1.165782415046343,1.1657824188921155,2017
1.165782417,1.1657824147818476,1.165782419228392,2018
1.165782417,1.1657824142956903,1.16578241934187,2019
1.165782417,1.1657824138543726,1.16578241989141,2020
1.165782417,1.1657824133912758,1.16578242042601,2021
1.165782417,1.1657824127741647,1.1657824209401042,2022
1.165782417,1.1657824118847802,1.1657824215156132,2023
