yhat,yhat_lower,yhat_upper,year
0.37758839891839996,0.2717267151355067,0.47629582692445,1961
0.4252555288554902,0.3261041151057946,0.5217018202754966,1962
0.47292265879258033,0.37668228048447755,0.5725928851498046,1963
0.5205897887426605,0.41293473819054266,0.6143602559932303,1964
0.5683875135513068,0.465035382508023,0.675098762827876,1965
0.6160546434834266,0.5106200886262623,0.7155723482142395,1966
0.6637217734142468,0.5652483635132327,0.7637837362334854,1967
0.7113889033450667,0.6098758485882942,0.8095175304016967,1968
0.7591866281649515,0.6589554283927157,0.863200169821984,1969
0.8068537581183902,0.701150805994665,0.9036594080748672,1970
0.8545208880718288,0.7433596849434265,0.9507543283720203,1971
0.9021880180302958,0.8098397230576954,1.0055768131915273,1972
0.9499857428653613,0.8493313733628364,1.0501924182940596,1973
0.9976528728301833,0.8992550540689334,1.0918380435439587,1974
1.0453200027766987,0.9542388140903638,1.148537405191891,1975
1.0929871327232137,0.996980874564249,1.1925259201862537,1976
1.14078485755954,1.0410945516748629,1.2347950677400104,1977
1.1884519875192647,1.0914800651238055,1.2805051215420606,1978
1.2361191170701489,1.1374940129873536,1.3368204957891687,1979
1.2837671943485613,1.1843959640864574,1.3733290892619212,1980
1.331545814304449,1.22987481110718,1.435216261122135,1981
1.3791736337205347,1.2794883428694472,1.476533848270338,1982
1.4268014531366202,1.3265738518833574,1.5281981152463713,1983
1.4628757113798474,1.3613501144593778,1.5569220986817016,1984
1.4990488032073024,1.4008842350545045,1.5937407132249575,1985
1.5351099582212364,1.4297969723275268,1.6343059303557768,1986
1.571170302717081,1.4680738457903377,1.667288538689165,1987
1.6072306472129254,1.5133613464713658,1.7091607101930295,1988
1.6433897871242882,1.5502444559389317,1.745805418880475,1989
1.6794501315714119,1.5795710678703982,1.7761515624047504,1990
1.7155104760019348,1.6172789602250943,1.81322342287257,1991
1.7515708204253289,1.6573323655744272,1.850129015571812,1992
1.7877299603128967,1.6826975557570238,1.8775249176221949,1993
1.823790304746027,1.7220407915212848,1.9171461008836523,1994
1.8598506491791573,1.7602396860514997,1.9548509098744464,1995
1.8959113351843282,1.7920916139495484,1.9910419984623722,1996
1.9320730845847602,1.8327886924044432,2.028069319732204,1997
1.9681360313912022,1.8703495656776035,2.06771207923125,1998
2.0069407938316335,1.9099972987004945,2.1069106272855964,1999
2.045745556272065,1.9447870473332756,2.1458046848719374,2000
2.0846780031667866,1.9834924685388944,2.183359691273355,2001
2.1235344097734,2.020594286135677,2.2308626418246704,2002
2.1623908163800127,2.0636928636383516,2.259907009550615,2003
2.2012564604129423,2.1044133827908698,2.293660328197059,2004
2.2402285856624005,2.141997325563691,2.333095656610218,2005
2.2790942296953296,2.1806559903303007,2.3784096973778435,2006
2.3179598737282596,2.222906999342846,2.417434736588459,2007
2.3568255177611888,2.2545182314618324,2.4524615216221695,2008
2.395797643010647,2.297230363459101,2.4923676211634263,2009
2.4346632870435765,2.330822008834571,2.5378834314079928,2010
2.473528931076506,2.3721365689727842,2.57229359237485,2011
2.5123945751094356,2.417151363507916,2.61272584066608,2012
2.551366700358894,2.4521642169846958,2.6453401877129834,2013
2.5902323443918234,2.4896944351046746,2.701546902983109,2014
2.6678571512411535,2.5611780235270865,2.7646520061260063,2015
2.706829276490612,2.607725466783008,2.804610882036225,2016
2.7456949205235412,2.649960252318929,2.8456160568206985,2017
2.7845605645564704,2.682806007593418,2.885314505491016,2018
2.8234262085893995,2.7185872933057356,2.927490561054583,2019
2.862398333838858,2.75732979705324,2.9623439009142722,2020
2.901263977871788,2.7935418905686262,2.998643407460213,2021
2.9401296219047173,2.8426319252685524,3.0422895012315063,2022
2.9789952659376473,2.880568760333846,3.078398767214113,2023
