yhat,yhat_lower,yhat_upper,year
1.7808295750792917,0.8582845875806676,2.608205891556812,1992
1.9138815644608063,1.1339508115332722,2.8130480404729745,1993
2.046570024082085,1.149661237967572,2.8913447686145077,1994
2.1792584838945546,1.3502721120208416,3.0299152191656606,1995
2.3119469440353804,1.4192903384848699,3.156912083715143,1996
2.4449989343101337,1.5888354217802332,3.323205607112974,1997
2.5776873948729477,1.727825396813825,3.4603865263204887,1998
2.7103758548891985,1.8387882481371887,3.5480602724737014,1999
2.843059558409303,2.0469091590613293,3.6926225624621707,2000
2.9761067783907187,2.091576205801308,3.860493290602271,2001
3.1087902342563125,2.2288379629072645,3.9828844354373323,2002
3.2414696564046523,2.442774620430161,4.085158114474413,2003
3.374148887264633,2.5043349723431483,4.292068987830596,2004
3.5071916220064665,2.622340320164733,4.359956003225124,2005
3.6398708522609184,2.8410417214635584,4.513960927639993,2006
3.772550082922855,2.910938169605367,4.579053037407231,2007
3.9052293131934284,2.999247334719968,4.733144980384851,2008
4.0382720484797705,3.2764645771456506,4.929214670632316,2009
4.1709512791332255,3.3168907902767075,5.055002794890565,2010
4.30363050978668,3.4688805801503197,5.218669317871622,2011
4.436309740440135,3.597089802221456,5.341848459129131,2012
4.569352475835106,3.7310834248261333,5.363565394818641,2013
4.70203170648856,3.883880283896627,5.536224105107252,2014
4.967026663053953,4.116008437481554,5.799524822046013,2015
5.100069398448923,4.2772904008283845,5.9625942883939365,2016
5.232748629102379,4.378026313992067,6.093947005799207,2017
5.365427859755833,4.5597390227330585,6.194725471686813,2018
5.498107090409287,4.633833423768021,6.3940263444546845,2019
5.631149825804258,4.782586821638233,6.4866218157548605,2020
5.7638290564577135,4.845501240211009,6.643969167828473,2021
5.896508287111168,5.0420603506412105,6.688538219961938,2022
6.029187517764623,5.122975762200335,6.891561174213001,2023
