yhat,yhat_lower,yhat_upper,year
0.047980811933999994,0.040339115899704216,0.05460513058554527,1971
0.05186868390340503,0.0446453848395432,0.058445718614584696,1972
0.0557672076882329,0.04864454804666437,0.062447186916915025,1973
0.05965507976873065,0.05231936388120067,0.06679607039430611,1974
0.06354295196950487,0.05675217118229706,0.07032977206460132,1975
0.0674308241780046,0.0604250685374829,0.07468029259055184,1976
0.07132934812592556,0.06443410102685931,0.07820587604001514,1977
0.0752172203690708,0.0679485330984798,0.08205227043842758,1978
0.07910515984265645,0.0718627850575014,0.0853113324718637,1979
0.08299349238972822,0.07559224174106137,0.09022911470740587,1980
0.08689247790268236,0.08030808846281427,0.09384560708213688,1981
0.09078374653298026,0.08365822792999744,0.09826204669554799,1982
0.09468158484304053,0.08771254262618838,0.101485219796809,1983
0.09858693817179967,0.09187205661053605,0.10510600577498322,1984
0.10250299109871978,0.09544207630362377,0.10936801078166464,1985
0.10733905949545453,0.10001926370726112,0.11427158157533063,1986
0.11217585223530421,0.10517494486953083,0.11939440652492075,1987
0.11701290459925581,0.10978178951782036,0.12415243657165324,1988
0.1218632091614648,0.11404779863146651,0.12879881383824238,1989
0.1267009095590686,0.12008897391168852,0.13384958620768903,1990
0.13154145002821405,0.12499991753118234,0.1381463945882544,1991
0.13639050977780587,0.1296313324114117,0.1438688056888623,1992
0.14125285462260206,0.1343361320466968,0.14808591726606574,1993
0.1503128928405875,0.14364973616953025,0.15758626526276198,1994
0.1593739653929171,0.1531576917881303,0.16660389152204091,1995
0.16843883457580483,0.16132215935813576,0.17594820303389458,1996
0.17752853901672783,0.17057672570605878,0.18452360584177374,1997
0.1865957210963495,0.17909514284470726,0.1934822290521139,1998
0.19566960510161768,0.18924591170767796,0.20300263411387387,1999
0.2047434891068858,0.19716366109570027,0.2123544586416273,2000
0.2160356048099697,0.20891720575473358,0.22289714737134844,2001
0.2273007684200489,0.22037079479875682,0.23430405213099595,2002
0.2385716277561035,0.23233672434172584,0.24551189567799195,2003
0.2498424870921581,0.24272469438347924,0.25661173961684086,2004
0.2611448951727821,0.25424004200706385,0.2683637427365311,2005
0.27890704478057426,0.27223608905249586,0.28598670815378974,2006
0.2966691943883664,0.2901065194367433,0.3040693459591795,2007
0.31443134399615846,0.3074920812322145,0.32103980605920535,2008
0.33224215702753357,0.32526716272759315,0.339297185572437,2009
0.3500043066353257,0.34271891671607163,0.35727019749997113,2010
0.367766456243118,0.36015065859427187,0.3743901816917267,2011
0.38552860585091003,0.37878976908110845,0.3925096958373183,2012
0.40333941888228514,0.3964341305364005,0.4103831531044163,2013
0.4211015684900773,0.41410881064689375,0.42829601764559777,2014
0.4565772042820786,0.4495716160620684,0.46401671787913246,2015
0.4743880173134537,0.4670839807160871,0.4816928866701082,2016
0.49215016692124564,0.48472238719239025,0.5003315660293031,2017
0.509912316529038,0.5012166446233317,0.5183931752017971,2018
0.5276744661368301,0.5181305347300171,0.5373135816044781,2019
0.5454852791682051,0.5348168356277769,0.5561894570574751,2020
0.5632474287759974,0.5510394216036781,0.5750206340513956,2021
0.5810095783837894,0.5673302854351472,0.594071368810656,2022
0.5987717279915815,0.5833581026869261,0.6137162823652463,2023
