iso3,rent_pct_gdp,hdi
AGO,22.124247625088,0.591
AGO,22.124247625088,0.591
AGO,22.124247625088,0.591
AGO,22.124247625088,0.591
AGO,22.124247625088,0.591
AGO,22.124247625088,0.591
AGO,22.124247625088,0.591
AGO,22.124247625088,0.591
AGO,22.124247625088,0.591
AGO,22.124247625088,0.591
AGO,22.124247625088,0.591
AGO,22.124247625088,0.591
AGO,22.124247625088,0.591
AGO,22.124247625088,0.591
AGO,22.124247625088,0.591
AGO,22.124247625088,0.591
AGO,22.124247625088,0.591
AGO,22.124247625088,0.591
AGO,22.124247625088,0.591
AGO,22.124247625088,0.591
AGO,22.124247625088,0.591
AGO,22.124247625088,0.591
AGO,22.124247625088,0.591
AGO,22.124247625088,0.591
AGO,22.124247625088,0.591
AGO,22.124247625088,0.591
AGO,22.124247625088,0.591
AGO,22.124247625088,0.591
AGO,22.124247625088,0.591
AGO,22.124247625088,0.591
AGO,22.124247625088,0.591
AGO,22.124247625088,0.591
AGO,22.124247625088,0.591
AGO,22.124247625088,0.591
AGO,22.124247625088,0.591
AGO,22.124247625088,0.591
AGO,22.124247625088,0.591
AGO,22.124247625088,0.591
AGO,22.124247625088,0.591
AGO,22.124247625088,0.591
AGO,22.124247625088,0.591
AGO,22.124247625088,0.591
AGO,22.124247625088,0.591
AGO,22.124247625088,0.591
AGO,22.124247625088,0.591
AGO,22.124247625088,0.591
AGO,22.124247625088,0.591
AGO,22.124247625088,0.591
AGO,22.124247625088,0.591
AGO,22.124247625088,0.591
AGO,22.124247625088,0.591
AGO,22.124247625088,0.591
AGO,22.124247625088,0.591
AGO,22.124247625088,0.591
AGO,22.124247625088,0.591
AGO,22.124247625088,0.591
AGO,22.124247625088,0.591
AGO,22.124247625088,0.591
AGO,22.124247625088,0.591
AGO,22.124247625088,0.591
AGO,22.124247625088,0.591
AGO,22.124247625088,0.591
AGO,22.124247625088,0.591
AGO,22.124247625088,0.591
AGO,22.124247625088,0.591
AGO,22.124247625088,0.591
AGO,22.124247625088,0.591
AGO,22.124247625088,0.591
AGO,22.124247625088,0.591
AGO,22.124247625088,0.591
AGO,22.124247625088,0.591
AGO,22.124247625088,0.591
AGO,22.124247625088,0.591
AGO,22.124247625088,0.591
AGO,22.124247625088,0.591
AGO,22.124247625088,0.591
AGO,22.124247625088,0.591
AGO,22.124247625088,0.591
AGO,22.124247625088,0.591
AGO,22.124247625088,0.591
AGO,22.124247625088,0.591
AGO,22.124247625088,0.591
AGO,22.124247625088,0.591
AGO,22.124247625088,0.591
AGO,22.124247625088,0.591
AGO,22.124247625088,0.591
AGO,22.124247625088,0.591
AGO,22.124247625088,0.591
AGO,22.124247625088,0.591
AGO,22.124247625088,0.591
AGO,22.124247625088,0.591
AGO,22.124247625088,0.591
AGO,22.124247625088,0.591
AGO,22.124247625088,0.591
AGO,22.124247625088,0.591
AGO,22.124247625088,0.591
AGO,22.124247625088,0.591
AGO,22.124247625088,0.591
AGO,22.124247625088,0.591
AGO,22.124247625088,0.591
AGO,22.124247625088,0.591
AGO,22.124247625088,0.591
AGO,22.124247625088,0.591
AGO,22.124247625088,0.591
AGO,22.124247625088,0.591
AGO,22.124247625088,0.591
AGO,22.124247625088,0.591
AGO,22.124247625088,0.591
AGO,22.124247625088,0.591
AGO,22.124247625088,0.591
AGO,22.124247625088,0.591
AGO,22.124247625088,0.591
AGO,22.124247625088,0.591
AGO,22.124247625088,0.591
AGO,22.124247625088,0.591
AGO,22.124247625088,0.591
AGO,22.124247625088,0.591
AGO,22.124247625088,0.591
AGO,22.124247625088,0.591
AGO,22.124247625088,0.591
