yhat,yhat_lower,yhat_upper,year
1.1418774543315,0.47364147193567324,1.7270378969369897,1961
1.356041280792759,0.7239233164086073,1.967725434679619,1962
1.5702051072540182,0.9553505560492361,2.226315199177935,1963
1.7843689337394246,1.1397804272738254,2.419650967191755,1964
1.999119510398081,1.388140422874303,2.6051796686539768,1965
2.213283336847287,1.5782851245242144,2.838135409258281,1966
2.427447163293497,1.822818021850769,3.0522458475805294,1967
2.6416109897397066,2.031777044154562,3.2936101323747704,1968
2.856361566379143,2.2171470208179684,3.4993791925899305,1969
3.0705253928359433,2.429050501843708,3.7089234364206245,1970
3.2846892192927424,2.6037842261115314,3.9695994596041317,1971
3.498853045761106,2.889383087024989,4.113585770019185,1972
3.713603622438972,3.097907939412725,4.355538718255104,1973
3.927767448899335,3.3415198489635953,4.547261606155473,1974
4.141931275317507,3.530210633438352,4.785887217201403,1975
4.356095101735679,3.7151175044694624,4.994580929021124,1976
4.570845678316272,3.985393848303145,5.206501707317282,1977
4.785009504687629,4.1487478936759805,5.380760968506423,1978
4.999173331023485,4.389602907343874,5.6129851106205,1979
5.2133371573701535,4.551238415346579,5.8293378638586315,1980
5.42808773392599,4.86088713280028,6.030342473767618,1981
5.642251560288548,5.049470495064269,6.2555433487209635,1982
5.856415386651106,5.208092660055191,6.482400338563808,1983
6.070579213005418,5.43220260306522,6.676979528999237,1984
6.285329789568919,5.710162750234882,6.909524317072928,1985
6.499493615950898,5.877424125811991,7.139777675381194,1986
6.713657442341953,6.099829800062489,7.332304216693547,1987
6.927821268733006,6.296781693785035,7.571427147094496,1988
7.142571845240168,6.489371517676838,7.741880811672957,1989
7.356735671538296,6.771173662387968,7.959626794846268,1990
7.5708695706719356,6.9520064177290495,8.22164307885215,1991
7.784975112917689,7.148987254171311,8.390744962971226,1992
7.999667245690143,7.413581928605843,8.617459348417304,1993
8.213764612720016,7.585433595790406,8.838078420066163,1994
8.427861979749888,7.8256395455972445,9.01599407765728,1995
8.641907144762609,8.02774778435427,9.296135011043642,1996
8.856448350144257,8.246109327554379,9.461145142234871,1997
9.070403377369129,8.4510543040683,9.704352302463613,1998
9.284305638607016,8.721105214570532,9.889076262713216,1999
9.498207899844907,8.880783798407277,10.067693178177441,2000
9.712532972628608,9.050629861518022,10.328194649977403,2001
9.637118634999009,9.06276617114717,10.229546757264027,2002
9.56170429736941,8.960939894476848,10.221114166143883,2003
9.486187493814018,8.891355405252398,10.109076412410538,2004
9.41046379490642,8.810330253528416,10.01847354171321,2005
9.334946991351028,8.659896590518887,9.97212365660288,2006
9.259430187795637,8.623578007229494,9.867547329138269,2007
9.183913384240247,8.56084764035214,9.776441590876052,2008
9.108189685332649,8.498499680728461,9.7510898491488,2009
9.032672881777259,8.447366536494062,9.719964434141742,2010
8.957156078221868,8.371842428005767,9.584174924237693,2011
8.881639274666476,8.274841132900018,9.48225747250761,2012
8.80591557575888,8.188405003435323,9.410826053955638,2013
8.730398772203488,8.09899765050515,9.351737123983455,2014
8.579572060444912,7.944487242102952,9.221275484561588,2015
8.503848361537313,7.881002958199507,9.112388614025882,2016
8.428331557981924,7.7648436736783255,9.065944781133373,2017
8.352814754426532,7.737589914698469,8.995635598730876,2018
8.277297950871143,7.6396842310912785,8.94361691855952,2019
8.201574251963544,7.587010148280523,8.824288447488119,2020
8.126057448408153,7.482995642109928,8.801916633842184,2021
8.050540644852761,7.3927473183548225,8.696350262173898,2022
7.97502384129737,7.3028564231408755,8.677886291028173,2023
