yhat,yhat_lower,yhat_upper,year
-1.2568527030862,-2.5043480182678515,0.13442376094122022,1973
-1.0813606571570864,-2.4379462578767033,0.2489757649127953,1974
-0.9058686111277545,-2.08319556848369,0.44740708884419583,1975
-0.7303765650984226,-2.1225304610050406,0.6088230151585109,1976
-0.5544037189024847,-1.8791672872362297,0.7769713064598291,1977
-0.378911672942011,-1.7315768477566786,1.0299373935080673,1978
-0.20341962692847504,-1.4681839550354048,1.0779260453442883,1979
-0.02792758101759126,-1.2970496080129879,1.2491173873687005,1980
0.1480452650190757,-1.229719330634762,1.5603508079465138,1981
0.32353731086074555,-0.9757798406908783,1.7046352008368293,1982
0.49902935666230924,-0.9381831009585726,1.7914175479628556,1983
0.674521402489097,-0.7659174223575608,1.9600551171449434,1984
0.8504942484414376,-0.4933129431491912,2.1308056840976715,1985
1.0259866911933047,-0.24121498774035774,2.392494944735601,1986
1.2014791341990954,-0.08575358382868478,2.4998159956392287,1987
1.3769816838564444,0.055469718850499436,2.6793243489992546,1988
1.5529650623958577,0.23484946613517813,2.870773056048312,1989
1.728467612032158,0.3678694133868037,3.0503897461090648,1990
1.9039730710482337,0.5579520670447199,3.178723966357966,1991
2.079479745011929,0.7441010017258252,3.440015090065658,1992
2.2554691846147104,0.9992374544497229,3.50196867772153,1993
2.4309777788872564,0.9924562606286116,3.6274750241428566,1994
2.606486373159801,1.2842615383986,3.877492696260673,1995
2.7819949675153968,1.5022824803501027,4.096447861180013,1996
2.9579844076061566,1.6573377277880004,4.235705479266861,1997
3.1334930022939194,1.80931177666942,4.443970175273347,1998
3.3090015969816813,1.9652293289833085,4.611806211527632,1999
3.4845101915978716,2.1248500446615504,4.838803234264357,2000
3.6604996317962706,2.3458550154204336,4.9642903889102925,2001
3.836008226546663,2.3474248351487548,5.1409402097164865,2002
4.011516821241077,2.638775616733439,5.334227145161453,2003
4.187025415935491,2.8720947990097336,5.5664801353365165,2004
4.363014856050405,3.1397674056943057,5.698374631977894,2005
4.538523450781736,3.2649313713519943,5.887457318388317,2006
4.7140320455130675,3.381000954758819,5.978291011580248,2007
4.889540640244399,3.6040159754164756,6.229255078938557,2008
5.065530080440748,3.7297562971472806,6.367935872662628,2009
5.241038675172078,3.9109579717703347,6.592421368078557,2010
5.4165472699034085,3.8910409303011084,6.686698384586066,2011
5.592055864634742,4.233562256143962,6.805818512128312,2012
5.768045304831089,4.425561733511776,7.0422675650995235,2013
5.943553899562421,4.62766179952157,7.289771513435229,2014
6.294090243560064,5.029559918117171,7.648692365130668,2015
6.470079683756414,5.15533875290452,7.672118132635419,2016
6.645588278487747,5.362416137357077,7.952114300654776,2017
6.821096873219076,5.557435404694543,8.119415920678135,2018
6.996605467950409,5.706315440566707,8.400171424344302,2019
7.172594908146757,5.958742691232656,8.562110461977873,2020
7.3481035028780886,5.930578492315408,8.628163518484756,2021
7.523612097609419,6.177161095016077,8.809981220408247,2022
7.699120692340751,6.337141319074124,9.019684056610375,2023
