yhat,yhat_lower,yhat_upper,year
1.0143055409751218,0.9754869135256903,1.0557223541140301,1961
1.003162763207445,0.965118580314757,1.0389784474540606,1962
0.9920199854397679,0.9540537748301443,1.0315864353777482,1963
0.9808772076731577,0.9425185849525903,1.0198081504855856,1964
0.9697039017503011,0.9327397093212824,1.0063650217235234,1965
0.9585611239857037,0.9239840487085473,0.9977358767239902,1966
0.9474183462214368,0.909148173567528,0.9830238836155392,1967
0.93627556845717,0.898999970621645,0.9725262053021436,1968
0.9251022625370697,0.8867595868223688,0.9612100291442722,1969
0.9139594847742184,0.874958534340335,0.9500361351641544,1970
0.9028167070113671,0.8666186329975315,0.9423421535996991,1971
0.8916739292503624,0.8530120806597268,0.9269098472113488,1972
0.8805006233311082,0.8429179482789042,0.9181370951101236,1973
0.8693572871145708,0.8337761322184928,0.9089508261307546,1974
0.8582009951192603,0.8215362136548655,0.8971901020396187,1975
0.8470447031239499,0.81129875460662,0.8868809228855066,1976
0.8283056058704311,0.792027126740486,0.8668014121541837,1977
0.8096177083361841,0.7713790946869528,0.848315349780795,1978
0.7909284781556162,0.7517807591748344,0.8265870760414703,1979
0.7722340211982403,0.73473062469152,0.8115643521080579,1980
0.7534883465505704,0.7149305036914684,0.790955609249348,1981
0.7347937539926713,0.6977854864914066,0.7717478295883133,1982
0.7160991614347726,0.6786323943498974,0.7526670420961479,1983
0.6974045688742755,0.6605134860756893,0.7339224568626888,1984
0.678658758251969,0.6397921983237334,0.7160083247489374,1985
0.659964165689492,0.6193620339044515,0.6988681920955385,1986
0.6412720286583986,0.605555143999938,0.6780273798440503,1987
0.6225798916273054,0.5878653354035681,0.6602090329507941,1988
0.6038395406747165,0.5660428685872513,0.6419700888254485,1989
0.5851503928668069,0.5456147285635198,0.6200109559708273,1990
0.5664697447085352,0.5315532856352809,0.602690267082248,1991
0.5477950931530942,0.5111133786833221,0.5848347837223506,1992
0.5290692781687344,0.49451802351377494,0.5680774356857795,1993
0.5220391720687282,0.4859800032017043,0.5590900063531512,1994
0.5150090659687222,0.47470151577184805,0.5520865099867808,1995
0.5084735932287784,0.47101600336301847,0.5463025132686751,1996
0.5019353694604771,0.46501702200182105,0.5392091651944444,1997
0.4954150096915428,0.45725341430250777,0.5340551232921846,1998
0.4889024180832153,0.45232636727010955,0.5270495231409249,1999
0.4823898264748873,0.4446765060539177,0.5216376733249714,2000
0.47586601963114,0.43759975989121913,0.5136842795471208,2001
0.4693665372497517,0.4295800877056107,0.5054603107282288,2002
0.46286705486836344,0.4262703616481295,0.5055604877598758,2003
0.4563740480917737,0.4214712903847996,0.49293564861385303,2004
0.44986325225552204,0.41202032407765393,0.4883057547407497,2005
0.44337024547893233,0.4057390502837101,0.48160904731326115,2006
0.4368772387023425,0.4013578677558601,0.4748943786312137,2007
0.4303842319257528,0.3925331180241071,0.46635259383184163,2008
0.4238734360895012,0.38879853427774724,0.46508713059238144,2009
0.41738042931291136,0.3794858586782782,0.4525700045826392,2010
0.41088742253632166,0.3716465987807121,0.4485016325871989,2011
0.40439441575973184,0.3659868670222519,0.4421490836696315,2012
0.3978836199234802,0.3581893913802165,0.4361341225003689,2013
0.39139061314689044,0.3529553664547076,0.4289718028163269,2014
0.37842238865337285,0.3410488656048833,0.4162269907993401,2015
0.37191159281712116,0.3319215473671384,0.40967571039381323,2016
0.36541858604053146,0.3295794289895383,0.402591804361093,2017
0.3589255792639417,0.3209288897909025,0.40096932366797544,2018
0.352432572487352,0.31343902200998747,0.3893279847748019,2019
0.3459217766511003,0.3048795639423439,0.3901771338637409,2020
0.33942876987451054,0.29829327601994526,0.3797249687016599,2021
0.33293576309792083,0.29243341368974607,0.37812256662155136,2022
0.326442756321331,0.28557273528576016,0.3677140203321064,2023
