yhat,yhat_lower,yhat_upper,year
28.609982203472,18.584125055461914,39.31165312183457,1971
27.878471903151166,17.280771885743853,37.62524528171461,1972
27.14495746527332,17.568907789084346,37.99914376206217,1973
26.413447165203888,15.68348594092015,35.78622195884208,1974
25.681936871324634,15.345230040357258,35.97146424103784,1975
24.950426582910865,15.396954624485783,34.653015142083525,1976
24.21691215108296,13.97299530949005,34.61301194735704,1977
23.485401857046938,12.845934848233437,33.43572380575527,1978
22.75389156912991,13.187439762079187,33.069833062339036,1979
22.022381283165785,11.0881375788192,32.109681007047,1980
21.288866859431906,10.567084735640886,31.2738486254801,1981
20.557356572340538,10.41883167557336,31.49002776592676,1982
19.825846283924367,9.421070832419298,30.685842491263895,1983
19.094335996896103,8.991826653497814,29.260188950821895,1984
18.36082157209516,7.746754261942513,30.221402482424917,1985
17.629316676921945,7.395884155906096,28.889179504084375,1986
16.897812128063727,6.146418971222451,27.18030902547049,1987
16.16631055354027,5.592174842343172,26.426964292322943,1988
15.432804865114015,4.574044967918441,25.584035134606612,1989
14.701346288979202,4.843710406973292,24.72522350451697,1990
13.969914383142873,4.167712961512627,23.77057105200284,1991
13.238492136462906,3.3633589693831305,23.422323670582305,1992
12.505065993216688,1.969558479146857,22.923490083613643,1993
11.773676019885826,1.4050618586409003,21.567511606089685,1994
11.042287107022071,0.6361783715005216,21.420018318789012,1995
10.310899496021197,-0.6290282377047234,19.91377720286118,1996
9.577508083346343,-0.8267001836605682,19.350845019617108,1997
8.846124735280972,-0.8218192410438379,18.75736117964688,1998
8.114741427229795,-2.623040416409463,19.12977478255962,1999
7.383358119178624,-3.3790984738595986,18.060743222966554,2000
6.649971019275461,-4.202879998199586,16.853369052556154,2001
5.918587707092183,-4.975842669103043,16.448249120144222,2002
5.187204393439831,-5.545363434900183,16.048465231681256,2003
4.455821079787479,-6.079770981843866,14.452654570701387,2004
3.7224339755885856,-7.235321765304764,14.622854797596569,2005
2.991050665391234,-7.652079865160269,14.099439337952877,2006
2.259667355193893,-8.628265150409268,11.925753961747118,2007
1.5282840449965511,-8.25165737148388,11.84601236978933,2008
0.7948969449082534,-9.765912413172993,10.292416923811759,2009
0.0635136347109117,-9.976394510887424,10.795638652923085,2010
-0.6678696754864397,-11.527725636884327,9.425412692708802,2011
-1.3992529856837814,-11.375518140418228,9.29832081705424,2012
-2.132640085772079,-11.838242288339824,8.46598591015726,2013
-2.864023395969421,-13.049879608699346,7.220697220800153,2014
-4.324786226473158,-14.184656655152272,5.812796876153654,2015
-5.058173326561455,-15.067645097033083,5.506982019919373,2016
-5.789556636758797,-15.261418402467918,5.409310422094618,2017
-6.520939946956144,-16.82991213511601,4.201113611958677,2018
-7.25232325715349,-17.364934006811065,3.523164446782464,2019
-7.985710357241783,-17.387263942556842,2.56545785456788,2020
-8.71709366743913,-19.6438870849672,0.8259472588278032,2021
-9.44847697763647,-20.630263926791482,0.2898704669287304,2022
-10.179860287833817,-20.634157006355753,-1.0499192591267479,2023
