feature,importance,importance_pct
carbon_EFProdPerCap,0.07645956485338369,7.6459564853383695
co2_pc_lag1,0.06855226270886632,6.855226270886631
carbon_EFProdPerCap_lag1,0.06588031384815377,6.588031384815377
carbon_EFConsPerCap,0.0633680353874182,6.33680353874182
carbon_EFConsPerCap_lag1,0.047759501230909655,4.775950123090966
total_EFConsPerCap,0.038658003867436154,3.8658003867436155
carbon_EFExportsPerCap_lag1,0.03363590505666647,3.363590505666647
total_EFConsPerCap_lag1,0.033062312030270415,3.3062312030270413
renew_pct,0.026319063235917046,2.631906323591705
Percapita GDP (2010 USD)_BiocapTotGHA,0.026267130537826804,2.62671305378268
Percapita GDP (2010 USD)_EFImportsPerCap,0.025359290016703017,2.5359290016703016
total_EFProdPerCap_lag1,0.023225860297412294,2.3225860297412293
Percapita GDP (2010 USD)_EFProdTotGHA,0.021670823639640006,2.1670823639640004
Percapita GDP (2010 USD)_EFExportsPerCap,0.019921426771919108,1.9921426771919108
Percapita GDP (2010 USD)_BiocapPerCap,0.018356877337976737,1.8356877337976738
total_EFProdPerCap,0.017957895064108463,1.7957895064108462
Percapita GDP (2010 USD)_EFProdPerCap,0.01755370518569686,1.755370518569686
Percapita GDP (2010 USD)_EFExportsTotGHA,0.01751088934596085,1.751088934596085
carbon_EFExportsPerCap,0.01567894055813984,1.5678940558139838
Percapita GDP (2010 USD)_EFConsPerCap,0.014370796225732134,1.4370796225732134
Percapita GDP (2010 USD)_EFConsTotGHA,0.014132320507774137,1.4132320507774137
Percapita GDP (2010 USD)_EFConsPerCap_lag1,0.013640207937227616,1.3640207937227617
Percapita GDP (2010 USD)_EFExportsPerCap_lag1,0.01249781133052332,1.249781133052332
Percapita GDP (2010 USD)_EFImportsTotGHA,0.012445792773860959,1.2445792773860958
Percapita GDP (2010 USD)_EFExportsTotGHA_lag1,0.011735417849444589,1.173541784944459
renew_pct_lag1,0.01103084369942388,1.103084369942388
Percapita GDP (2010 USD)_EFImportsPerCap_lag1,0.010408990710235676,1.0408990710235675
rent_pct_gdp,0.009998656779861307,0.9998656779861307
Percapita GDP (2010 USD)_EFProdPerCap_lag1,0.009954914204142136,0.9954914204142136
Percapita GDP (2010 USD)_BiocapPerCap_lag1,0.008631576690470192,0.8631576690470192
Percapita GDP (2010 USD)_EFImportsTotGHA_lag1,0.008598553106238655,0.8598553106238656
Percapita GDP (2010 USD)_BiocapTotGHA_lag1,0.007949339977285063,0.7949339977285064
Percapita GDP (2010 USD)_EFProdTotGHA_lag1,0.007899509678321093,0.7899509678321093
rent_pct_gdp_lag1,0.0074934483520800385,0.7493448352080039
Percapita GDP (2010 USD)_EFConsTotGHA_lag1,0.007201461085695014,0.7201461085695013
total_EFExportsPerCap,0.005918452417505135,0.5918452417505135
carbon_EFImportsPerCap,0.0056362258313905865,0.5636225831390587
total_EFExportsPerCap_lag1,0.005439577126245003,0.5439577126245003
grazing_land_EFImportsPerCap,0.0050273290765602665,0.5027329076560266
d_carbon_EFConsPerCap,0.004197004436455337,0.4197004436455337
d_rent_pct_gdp,0.0034388557719933306,0.34388557719933305
forest_land_EFImportsPerCap,0.0032500841561679187,0.3250084156167919
grazing_land_EFImportsPerCap_lag1,0.003122453384796924,0.3122453384796924
total_EFImportsPerCap,0.00305442883123333,0.305442883123333
carbon_EFProdTotGHA,0.002954717982672441,0.2954717982672441
d_Percapita GDP (2010 USD)_BiocapTotGHA,0.002902709054960282,0.2902709054960282
carbon_EFImportsPerCap_lag1,0.002778116625278385,0.27781166252783845
crop_land_BiocapPerCap,0.002663346506090085,0.26633465060900846
d_total_EFExportsPerCap,0.002629945697753047,0.2629945697753047
forest_land_EFImportsPerCap_lag1,0.0026000700493184416,0.26000700493184414
d_co2_pc,0.0025231832081453924,0.25231832081453925
fishing_ground_EFImportsPerCap,0.002521511293158038,0.2521511293158038
crop_land_EFImportsPerCap_lag1,0.002460953013141675,0.24609530131416749
crop_land_BiocapPerCap_lag1,0.0023650669136873895,0.23650669136873895
crop_land_EFProdPerCap_lag1,0.0022051054249580186,0.22051054249580185
crop_land_EFProdPerCap,0.002170637497357754,0.21706374973577539
forest_land_EFImportsTotGHA,0.0021697741691436624,0.21697741691436623
carbon_EFExportsTotGHA,0.0021480452225018268,0.21480452225018268
d_Percapita GDP (2010 USD)_EFProdTotGHA,0.0020777739430333487,0.20777739430333486
carbon_EFProdTotGHA_lag1,0.0020666175914072983,0.20666175914072984
d_carbon_EFImportsPerCap,0.0019873523099014747,0.19873523099014748
total_BiocapTotGHA,0.0019579958673390644,0.19579958673390643
grazing_land_BiocapTotGHA_lag1,0.0019243334759467114,0.19243334759467115
d_carbon_EFProdPerCap,0.0019115988932287568,0.19115988932287567
carbon_EFConsTotGHA,0.0018896052437952441,0.1889605243795244
crop_land_BiocapTotGHA,0.0018316822519007714,0.18316822519007714
crop_land_BiocapTotGHA_lag1,0.0018011439236080343,0.18011439236080343
crop_land_EFImportsPerCap,0.0017833454917765739,0.1783345491776574
d_Percapita GDP (2010 USD)_EFExportsTotGHA,0.0017573748056903882,0.17573748056903882
d_Percapita GDP (2010 USD)_BiocapPerCap,0.0017388606905130088,0.17388606905130088
grazing_land_EFImportsTotGHA,0.0017182280413231114,0.17182280413231113
d_Percapita GDP (2010 USD)_EFConsPerCap,0.001614000485930302,0.1614000485930302
d_Percapita GDP (2010 USD)_EFExportsPerCap,0.001610080299181438,0.16100802991814378
forest_land_EFImportsTotGHA_lag1,0.0015176166490191137,0.15176166490191137
fishing_ground_BiocapPerCap,0.001497625859454666,0.1497625859454666
