iso3,target,model,MAE
HTI,forest_land_EFProdPerCap,prophet,0.00016225815915495156
HUN,co2_pc,prophet,0.266780454723946
HUN,forest_land_EFProdPerCap,prophet,0.0
IDN,co2_pc,prophet,0.09085514235852143
IDN,forest_land_EFProdPerCap,prophet,0.01705892191496248
IND,co2_pc,prophet,0.02285164447466559
IND,forest_land_EFProdPerCap,prophet,0.0011315631338890992
IRL,co2_pc,prophet,1.2783312336278143
IRL,forest_land_EFProdPerCap,prophet,0.07386264326182725
IRN,co2_pc,prophet,0.3210623314697555
IRN,forest_land_EFProdPerCap,prophet,0.0
IRQ,co2_pc,prophet,0.3367696921297484
IRQ,forest_land_EFProdPerCap,prophet,0.0
ISR,co2_pc,prophet,0.6985218025128235
ISR,forest_land_EFProdPerCap,prophet,0.0042037388362566605
ITA,co2_pc,prophet,0.8753619022493085
ITA,forest_land_EFProdPerCap,prophet,0.009772071581911939
JAM,co2_pc,prophet,0.674804186300894
JAM,forest_land_EFProdPerCap,prophet,0.0
JOR,co2_pc,prophet,0.234569759333976
JOR,forest_land_EFProdPerCap,prophet,0.0008509610021637797
JPN,co2_pc,prophet,0.4717542445050585
JPN,forest_land_EFProdPerCap,prophet,0.007988463471343295
KAZ,co2_pc,prophet,0.5987597986111529
KAZ,forest_land_EFProdPerCap,prophet,0.005038464284067204
KEN,co2_pc,prophet,0.026862329928616813
KEN,forest_land_EFProdPerCap,prophet,0.012930797268843466
KGZ,co2_pc,prophet,0.2189410232367861
KGZ,forest_land_EFProdPerCap,prophet,0.0
KHM,co2_pc,prophet,0.07586525365727728
KOR,co2_pc,prophet,0.33087880565999567
KOR,forest_land_EFProdPerCap,prophet,0.007046211993064384
KWT,co2_pc,prophet,2.920911800811289
KWT,forest_land_EFProdPerCap,prophet,2.498321227411898e-06
LAO,co2_pc,prophet,0.13004943193876534
LAO,forest_land_EFProdPerCap,prophet,0.08061911250101385
LBN,co2_pc,prophet,0.2894411715874926
LBN,forest_land_EFProdPerCap,prophet,0.0020935275755042245
LBR,co2_pc,prophet,0.044557689060451
LBR,forest_land_EFProdPerCap,prophet,0.07767357576506889
LBY,co2_pc,prophet,0.9649555284399771
LBY,forest_land_EFProdPerCap,prophet,0.0007809439049825964
LCA,co2_pc,prophet,0.076690247425707
LCA,forest_land_EFProdPerCap,prophet,0.0001875194052271826
LKA,co2_pc,prophet,0.03269042869576626
LKA,forest_land_EFProdPerCap,prophet,0.011836999578465792
LSO,co2_pc,prophet,0.10236975372131758
LSO,forest_land_EFProdPerCap,prophet,0.012353418859520604
LTU,co2_pc,prophet,0.24298983087673126
LTU,forest_land_EFProdPerCap,prophet,0.07324158908175463
LUX,co2_pc,prophet,1.9948889643249021
LUX,forest_land_EFProdPerCap,prophet,0.0448616847701719
LVA,co2_pc,prophet,0.21676160542826445
LVA,forest_land_EFProdPerCap,prophet,0.41700231131666643
MAR,co2_pc,prophet,0.052731445525862376
MAR,forest_land_EFProdPerCap,prophet,0.0
MDA,co2_pc,prophet,0.3128854678175759
MDA,forest_land_EFProdPerCap,prophet,0.027519634451024583
MDG,co2_pc,prophet,0.01724783357946083
MDG,forest_land_EFProdPerCap,prophet,0.0169113239200235
MEX,co2_pc,prophet,0.1533928273783066
MEX,forest_land_EFProdPerCap,prophet,0.00233098582844935
MKD,co2_pc,prophet,0.18684832274629418
MKD,forest_land_EFProdPerCap,prophet,0.01730603745349921
MLI,co2_pc,prophet,0.006183536394414595
MLI,forest_land_EFProdPerCap,prophet,0.00331262294182027
MLT,co2_pc,prophet,0.5342812166917577
MLT,forest_land_EFProdPerCap,prophet,0.0
MMR,co2_pc,prophet,0.03507619580727959
MMR,forest_land_EFProdPerCap,prophet,0.011780706478391962
MNG,co2_pc,prophet,2.968019977128443
MNG,forest_land_EFProdPerCap,prophet,0.0
MOZ,co2_pc,prophet,0.06719798651514187
MOZ,forest_land_EFProdPerCap,prophet,0.0048042397662488075
MRT,co2_pc,prophet,0.0600479915087677
MRT,forest_land_EFProdPerCap,prophet,0.0
MUS,co2_pc,prophet,0.10301203645664762
MWI,co2_pc,prophet,0.0031990807419550586
MWI,forest_land_EFProdPerCap,prophet,0.005169609387930621
MYS,co2_pc,prophet,0.21467086891243792
MYS,forest_land_EFProdPerCap,prophet,0.27050282175621343
NAM,co2_pc,prophet,0.08032297204511826
NAM,forest_land_EFProdPerCap,prophet,0.0
NER,co2_pc,prophet,0.02540084079280756
NER,forest_land_EFProdPerCap,prophet,0.0025728326026554587
NGA,co2_pc,prophet,0.12178322420710372
NGA,forest_land_EFProdPerCap,prophet,0.0033963974645200403
NIC,co2_pc,prophet,0.03480906474068166
NIC,forest_land_EFProdPerCap,prophet,0.00880298059212098
NLD,co2_pc,prophet,0.42843243050298857
NLD,forest_land_EFProdPerCap,prophet,0.0030223168488262174
NOR,co2_pc,prophet,0.3299001958294731
NOR,forest_land_EFProdPerCap,prophet,0.0651380435403126
NPL,co2_pc,prophet,0.035997622535953844
NPL,forest_land_EFProdPerCap,prophet,0.001122257509375929
NZL,co2_pc,prophet,0.5804425421235923
NZL,forest_land_EFProdPerCap,prophet,0.35328384853628986
OMN,co2_pc,prophet,1.5474144838635886
OMN,forest_land_EFProdPerCap,prophet,0.000577175993723463
PAK,co2_pc,prophet,0.06105133790774928
PAK,forest_land_EFProdPerCap,prophet,0.003766424277076977
PAN,co2_pc,prophet,0.321904759317344
PAN,forest_land_EFProdPerCap,prophet,0.003445533323658928
PER,co2_pc,prophet,0.19804464026011798
PER,forest_land_EFProdPerCap,prophet,0.005999524111030305
PHL,co2_pc,prophet,0.05253363297674938
PHL,forest_land_EFProdPerCap,prophet,0.019243618329375285
PNG,co2_pc,prophet,0.10929924992664515
PNG,forest_land_EFProdPerCap,prophet,0.0
POL,co2_pc,prophet,0.30602282636562705
POL,forest_land_EFProdPerCap,prophet,0.013225710325829244
PRK,co2_pc,prophet,0.9895102627717037
PRK,forest_land_EFProdPerCap,prophet,0.004175463425439752
PRT,co2_pc,prophet,1.0279304439254495
PRT,forest_land_EFProdPerCap,prophet,0.03044132821608343
PRY,co2_pc,prophet,0.05245821316487322
PRY,forest_land_EFProdPerCap,prophet,0.021030532947615997
PYF,co2_pc,prophet,0.10347061682719572
PYF,forest_land_EFProdPerCap,prophet,0.0
QAT,co2_pc,prophet,10.142683046067521
QAT,forest_land_EFProdPerCap,prophet,0.0006402808139635143
ROU,co2_pc,prophet,0.8934392654648586
ROU,forest_land_EFProdPerCap,prophet,0.06331952748347615
RUS,co2_pc,prophet,0.28439757526970466
RUS,forest_land_EFProdPerCap,prophet,0.059092631561289334
RWA,co2_pc,prophet,0.01607036179143408
RWA,forest_land_EFProdPerCap,prophet,0.02735198006950562
SEN,co2_pc,prophet,0.06940277246285849
SEN,forest_land_EFProdPerCap,prophet,0.0
SGP,co2_pc,prophet,1.143946794951255
SGP,forest_land_EFProdPerCap,prophet,0.0002809023152772354
SLE,co2_pc,prophet,0.028771010031255085
SLE,forest_land_EFProdPerCap,prophet,0.011674962462353555
SLV,co2_pc,prophet,0.07183297577110799
SLV,forest_land_EFProdPerCap,prophet,0.008647273196264588
SOM,co2_pc,prophet,0.022498022062135463
SOM,forest_land_EFProdPerCap,prophet,0.016747926831038873
STP,co2_pc,prophet,0.02565258479370442
SUR,co2_pc,prophet,0.5501959743216858
SUR,forest_land_EFProdPerCap,prophet,0.06554563679675243
SVK,co2_pc,prophet,0.14121311039428042
SVK,forest_land_EFProdPerCap,prophet,0.10958531428007727
SVN,co2_pc,prophet,0.32596036521895044
SVN,forest_land_EFProdPerCap,prophet,0.10709050504959236
SWE,co2_pc,prophet,0.26827674887994846
SWE,forest_land_EFProdPerCap,prophet,0.48137485907387656
SWZ,co2_pc,prophet,0.09603554720173066
SWZ,forest_land_EFProdPerCap,prophet,0.0
SYR,co2_pc,prophet,0.7006840899332859
SYR,forest_land_EFProdPerCap,prophet,0.0007570396218970561
TCD,co2_pc,prophet,0.014417813618160618
TCD,forest_land_EFProdPerCap,prophet,0.0012056226244431755
TGO,co2_pc,prophet,0.06079542659875451
TGO,forest_land_EFProdPerCap,prophet,0.020447532019928605
THA,co2_pc,prophet,0.08818679082832732
THA,forest_land_EFProdPerCap,prophet,0.018783681309104298
TJK,co2_pc,prophet,0.06259722317353444
TJK,forest_land_EFProdPerCap,prophet,0.0
TKM,co2_pc,prophet,0.5117535053201505
TKM,forest_land_EFProdPerCap,prophet,0.0
TLS,co2_pc,prophet,0.09021608314781517
TLS,forest_land_EFProdPerCap,prophet,0.0
TON,co2_pc,prophet,0.11037092492307751
TTO,co2_pc,prophet,4.232241973044879
TTO,forest_land_EFProdPerCap,prophet,0.0
TUN,co2_pc,prophet,0.05602785917694928
TUN,forest_land_EFProdPerCap,prophet,0.018070753191360218
TUR,co2_pc,prophet,0.13053072582802763
TUR,forest_land_EFProdPerCap,prophet,0.01608501175668995
TZA,co2_pc,prophet,0.042676422881457884
TZA,forest_land_EFProdPerCap,prophet,0.0027938132075197354
UGA,co2_pc,prophet,0.02753368918093061
UGA,forest_land_EFProdPerCap,prophet,0.005359332045395171
UKR,co2_pc,prophet,0.44105698073816607
UKR,forest_land_EFProdPerCap,prophet,0.0
URY,co2_pc,prophet,0.34248344458945995
URY,forest_land_EFProdPerCap,prophet,0.0
USA,co2_pc,prophet,0.9770073520188027
USA,forest_land_EFProdPerCap,prophet,0.05843299759355507
UZB,co2_pc,prophet,0.18328591224753082
UZB,forest_land_EFProdPerCap,prophet,7.864320923787843e-05
VEN,co2_pc,prophet,0.2968297077878848
VEN,forest_land_EFProdPerCap,prophet,0.009628593575392044
VNM,co2_pc,prophet,0.06509579780563332
VNM,forest_land_EFProdPerCap,prophet,0.004749838164932074
WSM,co2_pc,prophet,0.033241844694578956
YEM,co2_pc,prophet,0.1143620892303147
YEM,forest_land_EFProdPerCap,prophet,1.7898436880575858e-05
ZAF,co2_pc,prophet,0.371651319002947
ZAF,forest_land_EFProdPerCap,prophet,0.0
