yhat,yhat_lower,yhat_upper,year
5.1380890447182,4.798420085248723,5.454070987525517,1992
5.101648406248184,4.794748455383012,5.424053395940377,1993
5.065307331312012,4.714764314361597,5.37956415506313,1994
5.02896625719501,4.695482027000505,5.364403209041014,1995
4.992625182882561,4.667914610405819,5.326844479459848,1996
4.956184545175928,4.6176108496836115,5.277567097508127,1997
4.919843472068506,4.566758061917036,5.251391458110402,1998
4.8835023972305045,4.539111217499843,5.225462339943555,1999
4.847155178620163,4.513748110403004,5.16887708506614,2000
4.810593685246527,4.477428160182614,5.144418699246689,2001
4.774129758510494,4.447504559020984,5.087372670235249,2002
4.737541746885088,4.400760900123981,5.060884278801797,2003
4.700505049745077,4.378928710384229,5.039162216348429,2004
4.612269712703384,4.288580648741337,4.957020891698556,2005
4.524073452400461,4.179210493465445,4.837359825662426,2006
4.435844348949339,4.100982391218211,4.760516894996638,2007
4.3475445929402685,4.005321529095259,4.648936143543275,2008
4.25899984630252,3.9335738385051977,4.58181751116705,2009
4.170697023562763,3.8515334288798804,4.506879759040512,2010
4.082394200823006,3.7648217331203613,4.3998775723673065,2011
3.9940913780832488,3.671095034013772,4.333661583206772,2012
3.9055466298017385,3.5568578390026753,4.201343365482176,2013
3.817243807061982,3.504297521912374,4.137540147308168,2014
3.640880087124221,3.3257217455674124,3.968973118713808,2015
3.5523353388427115,3.261504724072713,3.879387863254344,2016
3.4640325161029537,3.1437176922532304,3.7742369517548755,2017
3.3757296933631973,3.0547035802962967,3.690745271998397,2018
3.287426870623441,2.918032688284218,3.61294898461897,2019
3.1988821223419306,2.8668544221462455,3.5298048913609392,2020
3.1105792996021733,2.751142364970253,3.4175745442193617,2021
3.022276476862417,2.677604343886128,3.3670106869019474,2022
2.93397365412266,2.574249191428375,3.2814012318917336,2023
